t,a,b
1579598566948,"[[8654.69,0.213055],[8654.7,0.288875],[8654.71,0.288875],[8654.72,0.288874],[8654.76,2],[8654.82,0.189958],[8654.87,2],[8654.93,0.104214],[8654.96,0.156095],[8655,0.010807],[8655.4,0.03619],[8655.41,0.111239],[8655.95,0.04],[8656.51,0.131862],[8656.53,0.12811],[8657.01,0.348305],[8657.02,0.125287],[8657.03,0.288879],[8657.04,0.061697],[8657.47,1]]","[[8653.81,3.988],[8653.76,0.157732],[8653.74,0.034667],[8653.27,0.5],[8653.25,0.5],[8653.15,0.026464],[8653.05,0.129629],[8653.04,0.125568],[8652.99,0.0459],[8652.17,1],[8652.15,0.231078],[8652.13,0.125814],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8652,0.1],[8651.66,4],[8651.62,0.04],[8651.61,1.25],[8651.52,0.033625]]"
1579598567048,"[[8654.69,0.213055],[8654.7,0.288875],[8654.71,0.288875],[8654.72,0.288874],[8654.73,0.288875],[8654.76,2],[8654.82,0.189958],[8654.87,2],[8654.93,0.104214],[8654.96,0.156095],[8655,0.010807],[8655.4,0.03619],[8655.41,0.111239],[8655.95,0.04],[8656.51,0.131862],[8656.53,0.12811],[8657.01,0.348305],[8657.02,0.125287],[8657.03,0.288879],[8657.04,0.061697]]","[[8653.81,3.988],[8653.76,0.157732],[8653.74,0.034667],[8653.27,0.5],[8653.25,0.5],[8653.15,0.026464],[8653.05,0.129629],[8653.04,0.125568],[8652.99,0.0459],[8652.17,1],[8652.15,0.231078],[8652.13,0.125814],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8652,0.1],[8651.66,4],[8651.62,0.04],[8651.61,1.25],[8651.52,0.033625]]"
1579598567150,"[[8654.7,0.288875],[8654.71,0.288875],[8654.72,0.288874],[8654.73,0.288875],[8654.74,0.288875],[8654.76,2],[8654.82,0.189958],[8654.87,2],[8654.93,0.104214],[8654.96,0.156095],[8655,0.010807],[8655.4,0.03619],[8655.41,0.111239],[8655.95,0.04],[8656.51,0.131862],[8656.53,0.12811],[8657.01,0.348305],[8657.02,0.125287],[8657.03,0.288879],[8657.04,0.061697]]","[[8653.81,3.988],[8653.76,0.157732],[8653.74,0.034667],[8653.27,0.5],[8653.25,0.5],[8653.15,0.026464],[8653.05,0.129629],[8653.04,0.125568],[8652.99,0.0459],[8652.17,1],[8652.15,0.231078],[8652.13,0.125814],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8652,0.1],[8651.66,4],[8651.62,0.04],[8651.61,1.25],[8651.52,0.033625]]"
1579598567251,"[[8654.65,0.288875],[8654.69,2.034405],[8654.71,0.288875],[8654.76,2],[8654.82,0.189958],[8654.87,2],[8654.9,0.104214],[8655,0.010807],[8655.4,0.03619],[8655.41,0.111239],[8655.95,0.04],[8656.51,0.131862],[8656.53,0.12811],[8657.01,0.348305],[8657.02,0.125287],[8657.03,0.288879],[8657.04,0.061697],[8657.48,0.5],[8657.67,0.5],[8657.92,0.006449]]","[[8653.81,3.988],[8653.76,0.157732],[8653.74,0.034667],[8653.27,0.5],[8653.25,0.5],[8653.15,0.026464],[8653.05,0.129629],[8653.04,0.125568],[8652.99,0.0459],[8652.17,1],[8652.15,0.231078],[8652.13,0.125814],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8652,0.1],[8651.66,4],[8651.62,0.04],[8651.61,1.25],[8651.52,0.033625]]"
1579598567348,"[[8654.65,0.288875],[8654.69,2.034405],[8654.76,2],[8654.82,0.189958],[8654.87,2],[8654.9,0.104214],[8655,0.010807],[8655.4,0.03619],[8655.41,0.111239],[8655.95,0.04],[8656.51,0.131862],[8656.53,0.12811],[8657.01,0.348305],[8657.02,0.125287],[8657.03,0.288879],[8657.04,0.061697],[8657.47,1],[8657.48,0.5],[8657.67,0.5],[8657.92,0.006449]]","[[8653.81,3.988],[8653.76,0.157732],[8653.74,0.034667],[8653.27,0.5],[8653.25,0.5],[8653.15,0.026464],[8653.05,0.129629],[8653.04,0.125568],[8652.99,0.0459],[8652.17,1],[8652.15,0.231078],[8652.13,0.125814],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8652,0.1],[8651.66,4],[8651.62,0.04],[8651.61,1.25],[8651.52,0.033625]]"
1579598567450,"[[8654.62,0.288876],[8654.63,0.288877],[8654.65,0.288875],[8654.69,2.034405],[8654.76,2],[8654.82,0.189958],[8654.87,2],[8654.88,0.104214],[8655,0.010807],[8655.4,0.03619],[8655.41,0.111239],[8655.95,0.04],[8656.51,0.131862],[8656.53,0.12811],[8657.01,0.348305],[8657.02,0.125287],[8657.03,0.288879],[8657.04,0.061697],[8657.47,1],[8657.48,0.5]]","[[8653.81,3.988],[8653.76,0.157732],[8653.74,0.034667],[8653.27,0.5],[8653.25,0.5],[8653.15,0.026464],[8653.05,0.129629],[8653.04,0.125568],[8652.99,0.0459],[8652.83,0.5],[8652.17,1],[8652.15,0.231078],[8652.13,0.125814],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8652,0.1],[8651.66,4],[8651.62,0.04],[8651.61,1.25]]"
1579598567551,"[[8654.62,0.288876],[8654.63,0.288877],[8654.64,0.288877],[8654.65,0.288875],[8654.69,2.034405],[8654.76,2],[8654.82,0.189958],[8654.87,2],[8654.88,0.104214],[8655,0.010807],[8655.4,0.03619],[8655.41,0.111239],[8655.95,0.04],[8656.51,0.131862],[8656.53,0.12811],[8657.01,0.348305],[8657.02,0.125287],[8657.03,0.288879],[8657.04,0.061697],[8657.47,1]]","[[8653.81,3.988],[8653.76,0.157732],[8653.74,0.034667],[8653.27,0.5],[8653.25,0.5],[8653.15,0.026464],[8653.05,0.129629],[8653.04,0.125568],[8652.99,0.0459],[8652.17,1],[8652.15,0.231078],[8652.13,0.125814],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8652,0.1],[8651.66,4],[8651.62,0.04],[8651.52,0.033625],[8651,0.008252]]"
1579598567647,"[[8654.62,0.288876],[8654.63,0.288877],[8654.64,0.288877],[8654.65,0.288875],[8654.69,2.034405],[8654.76,2],[8654.82,0.189958],[8654.87,2],[8654.88,0.104214],[8655,0.010807],[8655.4,0.03619],[8655.41,0.111239],[8655.95,0.04],[8656.51,0.131862],[8656.53,0.12811],[8657.01,0.348305],[8657.02,0.125287],[8657.03,0.288879],[8657.04,0.061697],[8657.47,1]]","[[8653.81,3.988],[8653.76,0.157732],[8653.74,0.034667],[8653.27,0.5],[8653.25,0.5],[8653.15,0.026464],[8653.05,0.129629],[8653.04,0.125568],[8652.99,0.0459],[8652.17,1],[8652.15,0.231078],[8652.13,0.125814],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8652,0.1],[8651.66,4],[8651.62,0.04],[8651.52,0.033625],[8651,0.008252]]"
1579598567751,"[[8654.62,0.288876],[8654.63,0.288877],[8654.64,0.288877],[8654.65,0.288875],[8654.69,2.034405],[8654.76,2],[8654.82,0.189958],[8654.87,2],[8654.88,0.104214],[8655,0.010807],[8655.4,0.03619],[8655.41,0.111239],[8655.95,0.04],[8656.51,0.131862],[8656.53,0.12811],[8657.01,0.348305],[8657.02,0.125287],[8657.03,0.288879],[8657.04,0.061697],[8657.47,1]]","[[8653.81,3.988],[8653.76,0.157732],[8653.74,0.034667],[8653.27,0.5],[8653.25,0.5],[8653.15,0.026464],[8653.05,0.129629],[8653.04,0.125568],[8652.99,0.0459],[8652.17,1],[8652.15,0.231078],[8652.13,0.125814],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8652,0.1],[8651.66,4],[8651.62,0.04],[8651.52,0.033625],[8651,0.008252]]"
1579598567847,"[[8654.62,0.288876],[8654.63,0.288877],[8654.64,0.288877],[8654.65,0.288875],[8654.69,2.034405],[8654.76,2],[8654.82,0.189958],[8654.87,2],[8654.88,0.104214],[8655,0.010807],[8655.4,0.03619],[8655.41,0.111239],[8655.95,0.04],[8656.51,0.131862],[8656.53,0.12811],[8657.01,0.348305],[8657.02,0.125287],[8657.03,0.288879],[8657.04,0.061697],[8657.47,1]]","[[8653.81,3.988],[8653.76,0.157732],[8653.74,0.034667],[8653.27,0.5],[8653.25,0.5],[8653.15,0.026464],[8653.05,0.129629],[8653.04,0.125568],[8652.99,0.0459],[8652.17,1],[8652.15,0.231078],[8652.13,0.125814],[8652.11,0.121191],[8652.09,0.127308],[8652.06,0.100104],[8652,0.1],[8651.66,4],[8651.62,0.04],[8651.52,0.033625],[8651,0.008252]]"
